Time,JP_irlt,JP_irst,JP_immediate,JP_m1,JP_m3,JP_shares,JP_gdp,USD_JPY,CH_irlt,CH_irst,CH_immediate,CH_m1,CH_m3,CH_shares,CH_gdp,USD_SFR,UK_irlt,UK_irst,UK_immediate,UK_m1,UK_m3,UK_shares,UK_gdp,USD_GBP,US_irlt,US_irst,US_immediate,US_m1,US_m3,US_shares,US_gdp,EU_irlt,EU_irst,EU_immediate,EU_M1,EU_M3,EU_shares,EU_gdp,USD_EUR,RU_irlt,RU_irst,RU_immediate,RU_m1,RU_m3,RU_shares,RU_gdp,USD_RUB
Jan-1979,-1,-1,-1,"15,81",-1,"51,49","49,4917919872","197,78","3,11","0,01","-0,2","14,66","25,79","13,82","56,6206463648","1,67","13,55","12,69","11,12",-1,-1,"8,66","49,269951218","0,4985723","9,1","10,51","10,07","20,58","15,95","8,16","42,106136705","9,62",-1,-1,"8,81","10,68",-1,"53,5880461549","0,7362144",-1,-1,-1,-1,-1,-1,-1,-1
Feb-1979,-1,-1,-1,"15,87",-1,"51,06","49,6585908052","200,5276","3,08","0,13","-0,29","14,91","25,94","13,57","56,689736751","1,67","13,99","13,32","12,56",-1,-1,"8,71","49,3319359296","0,4990791","9,1","10,19","10,06","20,66","16,02","8,06","42,2007134854","9,74",-1,-1,"8,89","10,78",-1,"53,6936608279","0,7398092",-1,-1,-1,-1,-1,-1,-1,-1
Mar-1979,-1,-1,-1,"15,9",-1,"50,51","49,8257100023","206,2036","3,22","0,27",0,"15,06","26,1","13,74","56,7604286963","1,68","12,08","12,05","12,46",-1,-1,"9,88","49,3926618161","0,4909388","9,12","10,13","10,09","20,81","16,14","8,22","42,2938210012","9,82",-1,-1,"8,97","10,89",-1,"53,7980532036","0,7396449",-1,-1,-1,-1,-1,-1,-1,-1
Apr-1979,-1,-1,-1,"16,41",-1,"50,16","49,9931053055","216,2226","3,21","1,1","0,88","14,88","26,26","13,91","56,8326146702","1,72","11,39","11,69","11,46",-1,-1,"10,49","49,4521122147","0,4825963","9,18","10,06","10,01","21,12","16,31","8,41","42,3854652902","9,93",-1,-1,"9,03","10,99",-1,"53,9011695456","0,7479432",-1,-1,-1,-1,-1,-1,-1,-1
May-1979,-1,-1,-1,"16,65",-1,"51,18","50,1607367547","218,3011","3,18","1,54","1,02","14,43","26,41","13,41","56,9061824981","1,73","11,75","11,82","11,5",-1,-1,"10,46","49,510281701","0,4859503","9,25","10,16","10,24","21,21","16,4","8,22","42,4756618892","10,2",-1,-1,"9,09","11,09",-1,"54,0029582215","0,756258",-1,-1,-1,-1,-1,-1,-1,-1
Jun-1979,-1,-1,-1,"16,43",-1,"50,11","50,3285697971","218,8405","3,45","1,51","0,91","14,25","26,61","13,48","56,9810155604","1,7","12,56","13,12","11,73",-1,-1,"9,89","49,5671810376","0,473518","8,91","9,95","10,29","21,43","16,55","8,43","42,5644353635","10,4",-1,-1,"9,18","11,21",-1,"54,1033712681","0,7474959",-1,-1,-1,-1,-1,-1,-1,-1
Jul-1979,-1,-1,-1,"16,55",-1,"49,9","50,4965763899","216,4657","3,49","1,13","0,73","14,45","26,9","13,6","57,0569929824","1,65","12,34","13,98","13,43",-1,-1,"9,55","49,6228398926","0,4428338","8,95","10,11","10,47","21,65","16,69","8,54","42,6518188374","10,53",-1,-1,"9,24","11,3",-1,"54,2023659609","0,7208246",-1,-1,-1,-1,-1,-1,-1,-1
Aug-1979,-1,-1,-1,"16,74",-1,"50,79","50,6647348108","217,9076","3,51","1,65","0,75","14,58","27,13","13,88","57,1339903632","1,66","12,26","14,12","13,58",-1,-1,"9,6","49,6773060445","0,4470236","9,03","10,71","10,94","21,74","16,82","8,95","42,7378541641","10,6",-1,-1,"9,3","11,4",-1,"54,2999049157","0,7230135",-1,-1,-1,-1,-1,-1,-1,-1
Sep-1979,-1,-1,-1,"16,63",-1,"51,36","50,8330294617","222,2053","3,5","1,93","1,21","14,37","27,23","14,08","57,2118805014","1,61","12,56","14,17","13,29",-1,-1,"9,7","49,730642367","0,4547738","9,33","11,89","11,43","21,77","16,91","9,05","42,8225921035","10,67",-1,-1,"9,35","11,49",-1,"54,3959561946","0,7153076",-1,-1,-1,-1,-1,-1,-1,-1
Oct-1979,-1,-1,-1,"16,69",-1,"50,83","51,001450669","230,3546","3,6","2,52","1,24","14,21","27,39","13,71","57,2905341167","1,63","13,09","14,21","13,26",-1,-1,"9,8","49,7829237787","0,4664554","10,3","13,66","13,77","21,86","16,98","8,67","42,9060925081","10,85",-1,-1,"9,39","11,58",-1,"54,4904934153","0,7183908",-1,-1,-1,-1,-1,-1,-1,-1
Nov-1979,-1,-1,-1,"16,77",-1,"50,24","51,1699940656","244,8679","4,04","3,95","1,43","14,08","27,6","13,5","57,3698214286","1,64","14,76","16,25","13,21",-1,-1,"8,85","49,8342381801","0,4688067","10,65","13,9","13,18","21,86","17,05","8,64","42,9884240263","11,14",-1,-1,"9,44","11,7",-1,"54,5834966179","0,7145409",-1,-1,-1,-1,-1,-1,-1,-1
Dec-1979,-1,-1,-1,"16,81",-1,"51,15","51,3386599621","240,694","4,04","5,65","7,39","13,74","27,79","13,57","57,4496137339","1,6","15,02","16,81","15,58",-1,-1,"8,91","49,884687397","0,4545831","10,39","13,43","13,78","21,92","17,14","9,03","43,0696638107","11,42",-1,-1,"9,51","11,79",-1,"54,674953141","0,699937",-1,-1,-1,-1,-1,-1,-1,-1
Jan-1980,-1,-1,-1,"16,9","27,46","52,31","51,5074527058","238,0026","4,48","5,46","2,23","13,45","28,06","14,01","57,529784987","1,59","14,41","17,16","17,1",-1,-1,"9,2","49,9343881316","0,441534","10,8","13,39","13,82","22,14","17,24","9,35","43,1498972293","11,5",-1,-1,"9,57","11,81",-1,"54,7648585495","0,6927127",-1,-1,-1,-1,-1,-1,-1,-1
Feb-1980,-1,-1,-1,"17,02","27,62","52,98","51,6763799644","244,0632","4,72","5,07","0,97","13,38","28,32","13,68","57,6102138455","1,64","14,74","17,77","17,41",-1,-1,"9,82","49,9834702385","0,4367087","12,41","14,3","14,13","22,39","17,38","9,66","43,229217651","12,09",-1,-1,"9,6","11,84",-1,"54,8532171208","0,6991051",-1,-1,-1,-1,-1,-1,-1,-1
