Date,IPIUS,IPIEA19
1979M1,"56,3","69,1"
1979M2,"56,6",70
1979M3,"56,8","70,7"
1979M4,"56,3","71,1"
1979M5,"56,6","71,4"
1979M6,"56,6","72,2"
1979M7,"56,5","72,2"
1979M8,"56,1","72,6"
1979M9,"56,2","72,7"
1979M10,"56,5","72,1"
1979M11,"56,4","72,9"
1979M12,"56,5","73,7"
1980M1,"56,7","71,6"
1980M2,"56,8",71
1980M3,"56,6",71
1980M4,"55,5","70,9"
1980M5,"54,1","70,1"
1980M6,"53,4","70,5"
1980M7,53,"69,9"
1980M8,"53,2","71,2"
1980M9,"54,1",69
1980M10,"54,7","69,1"
1980M11,"55,7","69,7"
1980M12,56,"69,7"
1981M1,"55,7","68,5"
1981M2,"55,4","69,6"
1981M3,"55,7","68,7"
1981M4,"55,4","68,8"
1981M5,"55,8","69,7"
1981M6,"56,1",69
1981M7,"56,5","69,5"
1981M8,"56,5","68,3"
1981M9,"56,1","69,4"
1981M10,"55,7","69,8"
1981M11,"55,1","69,2"
1981M12,"54,5","68,5"
1982M1,"53,5","69,1"
1982M2,"54,5","68,4"
1982M3,"54,1","68,3"
1982M4,"53,6",69
1982M5,"53,3","68,2"
1982M6,"53,1",67
1982M7,"52,9","67,4"
1982M8,"52,4","66,6"
1982M9,"52,2","67,2"
1982M10,"51,8","66,5"
1982M11,"51,6","65,9"
1982M12,"51,1","65,4"
1983M1,"52,1","66,3"
1983M2,"51,8","66,6"
1983M3,"52,3","67,2"
1983M4,"52,9",67
1983M5,"53,3","67,1"
1983M6,"53,6","67,7"
1983M7,"54,4","67,3"
1983M8,55,"67,6"
1983M9,"55,8","68,3"
1983M10,"56,3","68,1"
1983M11,"56,5","68,8"
1983M12,"56,8","69,6"
1984M1,"57,9","69,1"
1984M2,"58,2","68,9"
1984M3,"58,5","68,7"
1984M4,"58,8","68,7"
1984M5,"59,1","69,7"
1984M6,"59,3","66,2"
1984M7,"59,5",70
1984M8,"59,6","71,6"
1984M9,"59,5","71,3"
1984M10,"59,4","70,6"
1984M11,"59,6","70,4"
1984M12,"59,7","71,2"
1985M1,"59,6","71,8"
1985M2,"59,8","71,6"
1985M3,"59,9","72,1"
1985M4,"59,8","71,4"
1985M5,"59,9","72,3"
1985M6,"59,9","71,7"
1985M7,"59,5","72,3"
1985M8,"59,8","72,5"
1985M9,60,"72,4"
1985M10,"59,8",73
1985M11,60,"73,7"
1985M12,"60,6","73,1"
1986M1,61,"73,5"
1986M2,"60,5","73,8"
1986M3,"60,1",73
1986M4,"60,2","74,8"
1986M5,"60,3","72,8"
1986M6,"60,1",74
1986M7,"60,4","74,1"
1986M8,"60,4","73,6"
1986M9,"60,5","74,2"
1986M10,"60,7","74,1"
1986M11,61,"73,4"
1986M12,"61,5","74,2"
1987M1,"61,4","73,5"
1987M2,"62,1","74,5"
1987M3,"62,2","74,3"
1987M4,"62,6","74,4"
1987M5,63,"75,3"
1987M6,"63,3","74,5"
1987M7,"63,8","74,8"
1987M8,"64,3","74,9"
1987M9,"64,5","74,9"
1987M10,"65,4","75,5"
1987M11,"65,7","75,8"
1987M12,"66,1","75,6"
1988M1,"66,1","75,5"
1988M2,"66,4","76,2"
1988M3,"66,5","77,2"
1988M4,"66,9",76
1988M5,"66,8","77,2"
1988M6,67,"77,3"
1988M7,67,"76,6"
1988M8,"67,3","79,2"
1988M9,"67,1","78,4"
1988M10,"67,5","77,9"
1988M11,"67,6","78,7"
1988M12,"67,9","79,7"
1989M1,"68,1","79,9"
1989M2,"67,8","79,7"
1989M3,"67,9","79,7"
1989M4,68,"81,4"
1989M5,"67,5",79
1989M6,"67,6","81,5"
1989M7,"66,9","80,8"
1989M8,"67,5","83,2"
1989M9,"67,3","81,5"
1989M10,"67,2","82,1"
1989M11,"67,5",82
1989M12,"67,9","82,8"
1990M1,"67,5","82,9"
1990M2,"68,1","83,8"
1990M3,"68,5","83,6"
1990M4,"68,4","83,9"
1990M5,"68,5","83,9"
1990M6,"68,7","83,4"
1990M7,"68,7","83,7"
1990M8,"68,8","84,3"
1990M9,69,"84,7"
1990M10,"68,4","84,9"
1990M11,"67,6","84,1"
1990M12,"67,2","84,9"
1991M1,"66,9","88,2"
1991M2,"66,4","87,2"
1991M3,"66,1","86,4"
1991M4,"66,2","85,9"
1991M5,"66,9","85,9"
1991M6,"67,5","87,5"
1991M7,"67,5","85,8"
1991M8,"67,6","85,7"
1991M9,"68,2","85,8"
1991M10,"68,1","86,2"
1991M11,68,"87,2"
1991M12,"67,7","86,8"
1992M1,"67,3","87,5"
1992M2,"67,8","87,8"
1992M3,"68,4","86,9"
1992M4,"68,9","86,8"
1992M5,"69,1","86,2"
1992M6,"69,1","85,4"
1992M7,"69,7","84,1"
1992M8,"69,4","84,1"
1992M9,"69,6","83,4"
1992M10,"70,1","83,6"
1992M11,"70,4","82,7"
1992M12,"70,4","81,3"
1993M1,"70,8","81,8"
1993M2,71,"81,1"
1993M3,71,"80,7"
1993M4,"71,2","80,3"
1993M5,71,"80,2"
1993M6,"71,1","79,8"
1993M7,"71,3","79,3"
1993M8,"71,2","80,3"
1993M9,"71,6","80,7"
1993M10,"72,1","80,7"
1993M11,"72,4","80,9"
1993M12,"72,8","80,9"
1994M1,"73,1","81,1"
1994M2,"73,1","82,2"
1994M3,"73,9","82,3"
1994M4,"74,2","83,7"
1994M5,"74,6","83,5"
1994M6,"75,1",84
1994M7,"75,3","84,2"
1994M8,"75,7","84,4"
1994M9,76,85
1994M10,"76,6","85,8"
1994M11,"77,1","86,4"
1994M12,"77,9","87,4"
1995M1,"78,1","86,8"
1995M2,78,"86,8"
1995M3,"78,1","86,7"
1995M4,"78,1",87
1995M5,"78,3","87,3"
1995M6,"78,6","86,9"
1995M7,"78,3","86,9"
1995M8,"79,3","86,8"
1995M9,"79,6","87,3"
1995M10,"79,5","86,2"
1995M11,"79,7","86,6"
1995M12,80,"87,5"
1996M1,"79,5","86,4"
1996M2,"80,7","86,2"
1996M3,"80,6","86,3"
1996M4,"81,4","85,5"
1996M5,"81,9","86,5"
1996M6,"82,6","86,4"
1996M7,"82,5","85,7"
1996M8,83,"86,7"
1996M9,"83,5","86,9"
1996M10,"83,5","86,3"
1996M11,"84,2",87
1996M12,"84,8","86,9"
1997M1,"84,9","87,1"
1997M2,"85,9","87,7"
1997M3,"86,5","88,6"
1997M4,"86,6","89,4"
1997M5,"87,1","88,6"
1997M6,"87,6","90,2"
1997M7,"88,2","90,8"
1997M8,"89,2","90,8"
1997M9,90,"90,6"
1997M10,"90,8","91,9"
1997M11,"91,6","91,6"
1997M12,"91,9","92,5"
1998M1,"92,4","92,8"
1998M2,"92,5","93,2"
1998M3,"92,6","93,4"
1998M4,"92,9","93,6"
1998M5,"93,5","93,8"
1998M6,"92,9","93,5"
1998M7,"92,6","94,2"
1998M8,"94,5","93,1"
1998M9,"94,3","93,3"
1998M10,95,"93,5"
1998M11,95,93
1998M12,"95,3","92,4"
1999M1,"95,7","93,8"
1999M2,"96,2","92,6"
1999M3,"96,4","92,8"
1999M4,"96,6","93,3"
1999M5,"97,3","93,3"
1999M6,"97,1","94,1"
1999M7,"97,7","94,8"
1999M8,"98,2","94,7"
1999M9,"97,8","95,5"
1999M10,"99,1","96,4"
1999M11,"99,6","96,8"
1999M12,"100,4","96,6"
2000M1,"100,4","96,5"
2000M2,"100,7","97,6"
2000M3,"101,1","97,9"
2000M4,"101,9","98,9"
2000M5,"102,1","100,1"
2000M6,"102,2","98,8"
2000M7,"102,1","100,1"
2000M8,"101,8","100,2"
2000M9,"102,2","100,2"
2000M10,"101,8","100,3"
2000M11,"101,8","101,4"
2000M12,"101,5",102
2001M1,"100,8","101,1"
2001M2,"100,2","101,5"
2001M3,"99,9","100,8"
2001M4,"99,6","100,1"
2001M5,"98,9","100,5"
2001M6,"98,3","100,3"
2001M7,"97,7","98,7"
2001M8,"97,5","100,9"
2001M9,"97,2","99,6"
2001M10,"96,7","98,2"
2001M11,"96,2","97,6"
2001M12,"96,2","98,2"
2002M1,"96,8","98,2"
2002M2,"96,8","98,4"
2002M3,"97,6",99
2002M4,98,"99,3"
2002M5,"98,4","99,5"
2002M6,"99,4","99,8"
2002M7,"99,2","99,3"
2002M8,"99,2","99,6"
2002M9,"99,3","99,8"
2002M10,99,"99,3"
2002M11,"99,5","99,7"
2002M12,99,"98,6"
2003M1,"99,7","99,9"
2003M2,100,"100,1"
2003M3,"99,8","99,4"
2003M4,99,"99,7"
2003M5,99,"98,1"
2003M6,"99,2","98,2"
2003M7,"99,6","99,6"
2003M8,"99,4","98,7"
2003M9,100,"98,4"
2003M10,"100,1","100,7"
