Country,United States,Euro area (19 countries)
Jan-1979,"20,6","8,8"
Feb-1979,"20,7","8,9"
Mar-1979,"20,8",9
Apr-1979,"21,1",9
May-1979,"21,2","9,1"
Jun-1979,"21,4","9,2"
Jul-1979,"21,7","9,2"
Aug-1979,"21,7","9,3"
Sep-1979,"21,8","9,3"
Oct-1979,"21,9","9,4"
Nov-1979,"21,9","9,4"
Dec-1979,"21,9","9,5"
Jan-1980,"22,1","9,6"
Feb-1980,"22,4","9,6"
Mar-1980,"22,3","9,7"
Apr-1980,22,"9,7"
May-1980,"22,1","9,8"
Jun-1980,"22,3","9,9"
Jul-1980,"22,6",10
Aug-1980,"22,9",10
Sep-1980,"23,2","10,1"
Oct-1980,"23,5","10,1"
Nov-1980,"23,6","10,2"
Dec-1980,"23,4","10,2"
Jan-1981,"23,6","10,2"
Feb-1981,"23,8","10,3"
Mar-1981,"24,1","10,4"
Apr-1981,"24,5","10,4"
May-1981,"24,4","10,5"
Jun-1981,"24,4","10,5"
Jul-1981,"24,5","10,5"
Aug-1981,"24,5","10,5"
Sep-1981,"24,5","10,6"
Oct-1981,"24,6","10,7"
Nov-1981,"24,8","10,7"
Dec-1981,"25,1","10,8"
Jan-1982,"25,4","10,8"
Feb-1982,"25,4","10,9"
Mar-1982,"25,4",11
Apr-1982,"25,7","11,1"
May-1982,"25,6","11,2"
Jun-1982,"25,7","11,3"
Jul-1982,"25,7","11,4"
Aug-1982,"25,9","11,4"
Sep-1982,"26,2","11,6"
Oct-1982,"26,7","11,6"
Nov-1982,"27,1","11,7"
Dec-1982,"27,3","11,8"
Jan-1983,"27,4","11,9"
Feb-1983,"27,8","12,1"
Mar-1983,"28,2","12,2"
Apr-1983,"28,3","12,3"
May-1983,"28,7","12,3"
Jun-1983,"28,9","12,5"
Jul-1983,"29,1","12,6"
Aug-1983,"29,3","12,7"
Sep-1983,"29,4","12,7"
Oct-1983,"29,7","12,8"
Nov-1983,"29,8","12,8"
Dec-1983,"29,9","12,9"
Jan-1984,"30,1",13
Feb-1984,"30,3","13,1"
Mar-1984,"30,5","13,1"
Apr-1984,"30,7","13,2"
May-1984,"30,8","13,3"
Jun-1984,31,"13,4"
Jul-1984,31,"13,4"
Aug-1984,"31,1","13,5"
Sep-1984,"31,2","13,6"
Oct-1984,"31,2","13,7"
Nov-1984,"31,4","13,8"
Dec-1984,"31,7","13,9"
Jan-1985,32,"14,1"
Feb-1985,"32,4","14,2"
Mar-1985,"32,5","14,2"
Apr-1985,"32,7","14,3"
May-1985,33,"14,3"
Jun-1985,"33,4","14,3"
Jul-1985,"33,8","14,5"
Aug-1985,"34,2","14,6"
