,USD_JPY,USD_SFR,USD_GBP,USD_EUR,USD_RUB
Jan-1979,"197,78","1,671","0,499","0,736",-1
Feb-1979,"200,528","1,675","0,499","0,74",-1
Mar-1979,"206,204","1,68","0,491","0,74",-1
Apr-1979,"216,223","1,715","0,483","0,748",-1
May-1979,"218,301","1,728","0,486","0,756",-1
Jun-1979,"218,841","1,698","0,474","0,747",-1
Jul-1979,"216,466","1,648","0,443","0,721",-1
Aug-1979,"217,908","1,657","0,447","0,723",-1
Sep-1979,"222,205","1,613","0,455","0,715",-1
Oct-1979,"230,355","1,629","0,466","0,718",-1
Nov-1979,"244,868","1,645","0,469","0,715",-1
Dec-1979,"240,694","1,6","0,455","0,7",-1
Jan-1980,"238,003","1,594","0,442","0,693",-1
Feb-1980,"244,063","1,639","0,437","0,699",-1
Mar-1980,"248,596","1,762","0,453","0,736",-1
Apr-1980,"251,436","1,757","0,451","0,743",-1
May-1980,"228,144","1,663","0,435","0,713",-1
Jun-1980,"218,088","1,634","0,428","0,703",-1
Jul-1980,"220,479","1,607","0,421","0,694",-1
Aug-1980,"224,376","1,652","0,422","0,707",-1
Sep-1980,"214,945","1,639","0,416","0,707",-1
Oct-1980,"209,269","1,66","0,414","0,722",-1
Nov-1980,"213,058","1,726","0,417","0,749",-1
Dec-1980,"209,9","1,782","0,426","0,77",-1
Jan-1981,"202,204","1,821","0,416","0,775",-1
Feb-1981,"205,758","1,949","0,436","0,829",-1
Mar-1981,"209,008","1,921","0,449","0,83",-1
Apr-1981,"215,067","1,97","0,459","0,848",-1
May-1981,"220,779","2,065","0,479","0,902",-1
Jun-1981,"224,136","2,072","0,507","0,938",-1
Jul-1981,"232,481","2,098","0,534","0,966",-1
Aug-1981,"233,621","2,169","0,549","0,995",-1
Sep-1981,"229,828","2,027","0,551","0,946",-1
Oct-1981,"231,416","1,883","0,543","0,921",-1
Nov-1981,"223,787","1,806","0,526","0,91",-1
Dec-1981,"219,022","1,816","0,525","0,919",-1
Jan-1982,"224,676","1,842","0,53","0,937",-1
Feb-1982,"235,313","1,892","0,542","0,968",-1
Mar-1982,"240,616","1,887","0,554","0,985",-1
Apr-1982,"244,291","1,959","0,564","1,049",-1
May-1982,"236,97","1,945","0,552","0,968",-1
Jun-1982,"251,111","2,076","0,569","1,017",-1
Jul-1982,"254,964","2,096","0,576","1,044",-1
Aug-1982,"258,691","2,107","0,579","1,049",-1
Sep-1982,"262,74","2,137","0,584","1,062",-1
Oct-1982,"271,313","2,17","0,589","1,073",-1
Nov-1982,"265,421","2,196","0,613","1,092",-1
Dec-1982,"242,818","2,048","0,619","1,048",-1
Jan-1983,"232,945","1,968","0,635","1,043",-1
Feb-1983,"236,187","2,015","0,653","1,06",-1
Mar-1983,"237,957","2,063","0,671","1,065",-1
Apr-1983,"237,696","2,054","0,649","1,079",-1
May-1983,"234,875","2,06","0,635","1,089",-1
Jun-1983,"240,022","2,111","0,646","1,121",-1
Jul-1983,"240,493","2,116","0,655","1,138",-1
Aug-1983,"244,363","2,163","0,666","1,173",-1
Sep-1983,"242,671","2,163","0,667","1,174",-1
Oct-1983,"233,013","2,115","0,668","1,155",-1
Nov-1983,"235,119","2,169","0,677","1,186",-1
Dec-1983,"234,387","2,196","0,697","1,217",-1
Jan-1984,"233,952","2,236","0,71","1,243",-1
Feb-1984,"233,642","2,204","0,694","1,205",-1
Mar-1984,"225,52","2,147","0,687","1,163",-1
Apr-1984,"225,024","2,187","0,703","1,183",-1
May-1984,"230,813","2,268","0,719","1,227",-1
Jun-1984,"233,217","2,286","0,726","1,226",-1
Jul-1984,"242,72","2,407","0,757","1,273",-1
Aug-1984,"242,304","2,415","0,761","1,289",-1
Sep-1984,"245,306","2,499","0,795","1,348",-1
Oct-1984,"246,895","2,523","0,819","1,373",-1
Nov-1984,"243,286","2,467","0,806","1,34",-1
Dec-1984,"247,967","2,558","0,842","1,389",-1
Jan-1985,"254,126","2,659","0,887","1,425",-1
Feb-1985,"260,34","2,802","0,915","1,481",-1
Mar-1985,"258,437","2,808","0,891","1,484",-1
Apr-1985,"251,671","2,584","0,806","1,382",-1
May-1985,"251,856","2,618","0,801","1,389",-1
Jun-1985,"248,922","2,572","0,781","1,365",-1
Jul-1985,"241,694","2,414","0,726","1,296",-1
Aug-1985,"237,201","2,294","0,723","1,253",-1
Sep-1985,"237,227","2,337","0,733","1,275",-1
Oct-1985,"214,914","2,167","0,703","1,195",-1
Nov-1985,"204,344","2,13","0,694","1,173",-1
Dec-1985,"202,747","2,104","0,691","1,146",-1
Jan-1986,"200,099","2,067","0,702","1,122",-1
Feb-1986,"184,6","1,955","0,7","1,079",-1
Mar-1986,"178,783","1,909","0,681","1,049",-1
Apr-1986,"175,571","1,903","0,669","1,053",-1
May-1986,"166,844","1,858","0,658","1,037",-1
Jun-1986,"167,826","1,84","0,663","1,04",-1
Jul-1986,"158,648","1,745","0,663","1,01",-1
Aug-1986,"154,111","1,66","0,673","0,979",-1
Sep-1986,"154,781","1,651","0,68","0,973",-1
Oct-1986,"156,047","1,642","0,701","0,962",-1
Nov-1986,"162,683","1,685","0,702","0,967",-1
Dec-1986,"162,239","1,666","0,695","0,957",-1
Jan-1987,"154,481","1,559","0,663","0,9",-1
Feb-1987,"153,491","1,541","0,655","0,883",-1
Mar-1987,"151,572","1,538","0,628","0,884",-1
Apr-1987,"142,951","1,495","0,613","0,872",-1
May-1987,"140,475","1,469","0,6","0,861",-1
Jun-1987,"144,516","1,508","0,614","0,877",-1
Jul-1987,"150,204","1,535","0,621","0,889",-1
Aug-1987,"147,581","1,536","0,625","0,896",-1
Sep-1987,"143,052","1,5","0,608","0,874",-1
Oct-1987,"143,419","1,495","0,602","0,869",-1
Nov-1987,"135,422","1,382","0,563","0,815",-1
Dec-1987,"128,301","1,33","0,547","0,791",-1
