,National currency per US dollar
Jan-1979,"0,736"
Feb-1979,"0,74"
Mar-1979,"0,74"
Apr-1979,"0,748"
May-1979,"0,756"
Jun-1979,"0,747"
Jul-1979,"0,721"
Aug-1979,"0,723"
Sep-1979,"0,715"
Oct-1979,"0,718"
Nov-1979,"0,715"
Dec-1979,"0,7"
Jan-1980,"0,693"
Feb-1980,"0,699"
Mar-1980,"0,736"
Apr-1980,"0,743"
May-1980,"0,713"
Jun-1980,"0,703"
Jul-1980,"0,694"
Aug-1980,"0,707"
Sep-1980,"0,707"
Oct-1980,"0,722"
Nov-1980,"0,749"
Dec-1980,"0,77"
Jan-1981,"0,775"
Feb-1981,"0,829"
Mar-1981,"0,83"
Apr-1981,"0,848"
May-1981,"0,902"
Jun-1981,"0,938"
Jul-1981,"0,966"
Aug-1981,"0,995"
Sep-1981,"0,946"
Oct-1981,"0,921"
Nov-1981,"0,91"
Dec-1981,"0,919"
Jan-1982,"0,937"
Feb-1982,"0,968"
Mar-1982,"0,985"
Apr-1982,"1,049"
May-1982,"0,968"
Jun-1982,"1,017"
Jul-1982,"1,044"
Aug-1982,"1,049"
Sep-1982,"1,062"
Oct-1982,"1,073"
Nov-1982,"1,092"
Dec-1982,"1,048"
Jan-1983,"1,043"
Feb-1983,"1,06"
Mar-1983,"1,065"
Apr-1983,"1,079"
May-1983,"1,089"
Jun-1983,"1,121"
Jul-1983,"1,138"
Aug-1983,"1,173"
Sep-1983,"1,174"
Oct-1983,"1,155"
Nov-1983,"1,186"
Dec-1983,"1,217"
Jan-1984,"1,243"
Feb-1984,"1,205"
Mar-1984,"1,163"
Apr-1984,"1,183"
May-1984,"1,227"
Jun-1984,"1,226"
Jul-1984,"1,273"
Aug-1984,"1,289"
Sep-1984,"1,348"
Oct-1984,"1,373"
Nov-1984,"1,34"
Dec-1984,"1,389"
Jan-1985,"1,425"
Feb-1985,"1,481"
Mar-1985,"1,484"
Apr-1985,"1,382"
May-1985,"1,389"
Jun-1985,"1,365"
Jul-1985,"1,296"
Aug-1985,"1,253"
Sep-1985,"1,275"
Oct-1985,"1,195"
Nov-1985,"1,173"
Dec-1985,"1,146"
Jan-1986,"1,122"
Feb-1986,"1,079"
Mar-1986,"1,049"
Apr-1986,"1,053"
May-1986,"1,037"
Jun-1986,"1,04"
Jul-1986,"1,01"
Aug-1986,"0,979"
Sep-1986,"0,973"
Oct-1986,"0,962"
Nov-1986,"0,967"
Dec-1986,"0,957"
Jan-1987,"0,9"
Feb-1987,"0,883"
Mar-1987,"0,884"
Apr-1987,"0,872"
May-1987,"0,861"
Jun-1987,"0,877"
Jul-1987,"0,889"
Aug-1987,"0,896"
Sep-1987,"0,874"
Oct-1987,"0,869"
Nov-1987,"0,815"
Dec-1987,"0,791"
Jan-1988,"0,8"
Feb-1988,"0,822"
Mar-1988,"0,811"
Apr-1988,"0,806"
May-1988,"0,813"
Jun-1988,"0,843"
Jul-1988,"0,886"
Aug-1988,"0,906"
Sep-1988,"0,9"
Oct-1988,"0,88"
Nov-1988,"0,845"
Dec-1988,"0,844"
Jan-1989,"0,881"
Feb-1989,"0,889"
Mar-1989,"0,897"
Apr-1989,"0,899"
May-1989,"0,938"
Jun-1989,"0,955"
Jul-1989,"0,914"
Aug-1989,"0,928"
Sep-1989,"0,941"
Oct-1989,"0,907"
Nov-1989,"0,894"
Dec-1989,"0,857"
Jan-1990,"0,832"
Feb-1990,"0,821"
Mar-1990,"0,835"
Apr-1990,"0,825"
May-1990,"0,811"
Jun-1990,"0,818"
Jul-1990,"0,793"
Aug-1990,"0,76"
Sep-1990,"0,762"
Oct-1990,"0,74"
Nov-1990,"0,724"
Dec-1990,"0,732"
Jan-1991,"0,737"
Feb-1991,"0,723"
Mar-1991,"0,782"
Apr-1991,"0,827"
May-1991,"0,834"
Jun-1991,"0,869"
Jul-1991,"0,871"
Aug-1991,"0,85"
Sep-1991,"0,828"
Oct-1991,"0,826"
Nov-1991,"0,795"
Dec-1991,"0,768"
Jan-1992,"0,771"
Feb-1992,"0,792"
Mar-1992,"0,813"
Apr-1992,"0,805"
May-1992,"0,789"
Jun-1992,"0,768"
Jul-1992,"0,73"
Aug-1992,"0,714"
Sep-1992,"0,722"
Oct-1992,"0,755"
Nov-1992,"0,807"
Dec-1992,"0,807"
Jan-1993,"0,825"
Feb-1993,"0,845"
Mar-1993,"0,848"
Apr-1993,"0,82"
May-1993,"0,821"
Jun-1993,"0,844"
Jul-1993,"0,878"
Aug-1993,"0,882"
Sep-1993,"0,848"
Oct-1993,"0,859"
Nov-1993,"0,886"
Dec-1993,"0,886"
Jan-1994,"0,898"
Feb-1994,"0,895"
Mar-1994,"0,876"
Apr-1994,"0,877"
May-1994,"0,859"
Jun-1994,"0,846"
Jul-1994,"0,819"
Aug-1994,"0,818"
Sep-1994,"0,81"
Oct-1994,"0,793"
Nov-1994,"0,804"
Dec-1994,"0,823"
Jan-1995,"0,803"
Feb-1995,"0,795"
Mar-1995,"0,76"
Apr-1995,"0,746"
May-1995,"0,756"
Jun-1995,"0,752"
Jul-1995,"0,743"
Aug-1995,"0,77"
Sep-1995,"0,776"
Oct-1995,"0,756"
Nov-1995,"0,755"
Dec-1995,"0,767"
Jan-1996,"0,774"
Feb-1996,"0,776"
Mar-1996,"0,78"
Apr-1996,"0,791"
May-1996,"0,802"
Jun-1996,"0,798"
Jul-1996,"0,787"
Aug-1996,"0,779"
Sep-1996,"0,789"
Oct-1996,"0,794"
Nov-1996,"0,783"
Dec-1996,"0,8"
Jan-1997,"0,822"
Feb-1997,"0,857"
Mar-1997,"0,87"
Apr-1997,"0,874"
May-1997,"0,871"
Jun-1997,"0,88"
