Time,IRLT_US,M1IDX_US,M3IDX_US,CCRETT01_US,IRLT_EA,M1IDX_EA,M3IDX_EA,CCUS,CCRETT01_EA,GDPIDX_US,GDPIDX_EA
1979M1: Jan-1979,"9,1","20,58356","15,95055","97,11507","9,6236","8,808558","10,68058","0,7362144","119,7297","42,106","53,634"
1979M2: Feb-1979,"9,1","20,65818","16,02265","98,0448","9,7419","8,893691","10,78215","0,7398092","119,1197","42,201","53,739"
1979M3: Mar-1979,"9,12","20,80742","16,13894","98,4788","9,8235","8,974513","10,88748","0,7396449","118,8486","42,294","53,843"
1979M4: Apr-1979,"9,18","21,12312","16,30524","99,59675","9,9274","9,028395","10,98851","0,7479432","117,3157","42,385","53,946"
1979M5: May-1979,"9,25","21,21496","16,39944","100,6753","10,201","9,086587","11,09439","0,756258","116,5653","42,476","54,047"
1979M6: Jun-1979,"8,91","21,43308","16,54829","101,1897","10,3992","9,17603","11,20832","0,7474959","116,3551","42,564","54,147"
1979M7: Jul-1979,"8,95","21,6512","16,68552","99,64757","10,5292","9,236378","11,30236","0,7208246","115,5263","42,652","54,246"
1979M8: Aug-1979,"9,03","21,74304","16,82274","100,6636","10,5991","9,299957","11,3991","0,7230135","115,6868","42,738","54,343"
1979M9: Sep-1979,"9,33","21,77174","16,90996","100,7122","10,6704","9,345218","11,48992","0,7153076","117,5399","42,823","54,439"
1979M10: Oct-1979,"10,3","21,85784","16,98322","102,0042","10,8468","9,385091","11,5786","0,7183908","118,9882","42,906","54,533"
1979M11: Nov-1979,"10,65","21,85784","17,04718","104,1697","11,1374","9,44436","11,69575","0,7145409","121,0606","42,988","54,625"
1979M12: Dec-1979,"10,39","21,91524","17,13789","103,4165","11,4201","9,513329","11,79356","0,699937","121,8603","43,07","54,716"
1980M1: Jan-1980,"10,8","22,14484","17,24255","102,95","11,5023","9,566478","11,81162","0,6927127","120,7779","43,15","54,806"
1980M2: Feb-1980,"12,41","22,39166","17,38094","103,8821","12,0853","9,602901","11,83793","0,6991051","119,8876","43,229","54,894"
1980M3: Mar-1980,"12,75","22,29408","17,44141","107,377","12,685","9,680157","11,94593","0,7364855","116,3744","43,308","54,98"
1980M4: Apr-1980,"11,47","22,03004","17,46932","108,1842","12,5724","9,747401","12,03853","0,7425007","114,2732","43,386","55,065"
1980M5: May-1980,"10,18","22,08744","17,58677","103,9419","12,2638","9,800981","12,11246","0,713165","114,5753","43,463","55,149"
1980M6: Jun-1980,"9,78","22,33426","17,78331","102,2167","12,1057","9,870337","12,20628","0,7027407","114,2844","43,539","55,231"
1980M7: Jul-1980,"10,25","22,61552","17,97286","101,327","12,1237","9,95519","12,30769","0,6942998","114,9242","43,616","55,311"
1980M8: Aug-1980,"11,1","22,914","18,15893","102,613","12,164","10,01567","12,39848","0,7069136","113,3353","43,692","55,391"
1980M9: Sep-1980,"11,51","23,23544","18,30429","101,3418","12,4537","10,05381","12,48193","0,7069136","111,5923","43,768","55,469"
1980M10: Oct-1980,"11,75","23,47651","18,42989","101,6397","12,7621","10,13734","12,58619","0,7219695","108,6086","43,844","55,545"
1980M11: Nov-1980,"12,68","23,57409","18,55781","103,7294","12,9068","10,23108","12,72757","0,7488954","105,7654","43,92","55,621"
1980M12: Dec-1980,"12,84","23,44781","18,60433","105,0393","12,841","10,22491","12,84329","0,7697045","104,3719","43,996","55,696"
1981M1: Jan-1981,"12,57","23,60853","18,68689","103,8842","12,9312","10,23404","12,94025","0,7746533","101,9425","44,073","55,769"
1981M2: Feb-1981,"13,19","23,80943","18,82412","106,907","13,4494","10,32602","13,07301","0,8287064","98,2206","44,15","55,842"
1981M3: Mar-1981,"13,12","24,05051","19,03228","106,9701","13,7055","10,36499","13,19888","0,8296689","99,70055","44,227","55,914"
1981M4: Apr-1981,"13,68","24,53267","19,2951","108,5818","13,9322","10,41021","13,32733","0,8482484","98,3555","44,305","55,985"
1981M5: May-1981,"14,1","24,37769","19,35324","111,5473","14,7366","10,47155","13,45864","0,9018759","94,99067","44,384","56,055"
1981M6: Jun-1981,"13,47","24,40639","19,42418","113,5973","14,8977","10,49827","13,56894","0,9382623","93,8344","44,464","56,125"
1981M7: Jul-1981,"14,28","24,50397","19,55908","116,6581","15,0344","10,51251","13,66001","0,9664637","93,99089","44,545","56,194"
1981M8: Aug-1981,"14,94","24,50397","19,70328","118,5811","15,2041","10,53638","13,73161","0,9945301","93,10542","44,626","56,262"
1981M9: Sep-1981,"15,32","24,50971","19,83934","116,23","15,4353","10,60709","13,83804","0,9459843","97,53292","44,71","56,331"
1981M10: Oct-1981,"15,15","24,59007","20,02308","115,0328","15,2037","10,6697","13,95917","0,9210647","99,58871","44,794","56,399"
1981M11: Nov-1981,"13,39","24,75653","20,18938","112,9146","15,1985","10,70873","14,0582","0,910498","98,72296","44,881","56,467"
1981M12: Dec-1981,"13,72","25,06649","20,41499","112,8121","14,9096","10,7671","14,17983","0,918611","97,29019","44,968","56,535"
1982M1: Jan-1982,"14,59","25,41089","20,58826","114,0575","14,8468","10,83596","14,31923","0,9372071","97,2115","45,058","56,602"
1982M2: Feb-1982,"14,43","25,36497","20,63594","117,6093","14,8963","10,9069","14,45495","0,9684292","96,31659","45,15","56,67"
1982M3: Mar-1982,"13,86","25,41089","20,77549","119,9593","14,6102","10,98772","14,59953","0,9849306","96,17308","45,244","56,739"
1982M4: Apr-1982,"13,87","25,66345","20,97784","120,646","14,4708","11,08722","14,73586","1,048988","95,99005","45,34","56,807"
1982M5: May-1982,"13,62","25,64049","21,11157","118,8207","14,4346","11,17809","14,84523","0,9683354","98,15408","45,439","56,876"
1982M6: Jun-1982,"14,3","25,68641","21,23484","124,3782","14,6425","11,27456","14,99613","1,016673","95,46365","45,54","56,945"
1982M7: Jul-1982,"13,95","25,71511","21,30229","126,1184","14,5892","11,35523","15,15215","1,043623","94,63556","45,644","57,015"
1982M8: Aug-1982,"13,06","25,91026","21,46277","125,5615","14,2299","11,44839","15,28695","1,048878","94,50031","45,75","57,085"
1982M9: Sep-1982,"12,34","26,22596","21,61628","127,3785","13,9851","11,55582","15,42387","1,062361","94,27126","45,859","57,157"
1982M10: Oct-1982,"10,91","26,6622","21,74769","129,0611","13,8124","11,62655","15,52889","1,072961","95,10454","45,971","57,229"
1982M11: Nov-1982,"10,55","27,064","21,9105","128,6215","13,8141","11,73757","15,63605","1,092419","95,46381","46,086","57,302"
1982M12: Dec-1982,"10,54","27,25342","22,16983","123,3417","13,4026","11,836","15,78908","1,047669","98,23386","46,204","57,376"
1983M1: Jan-1983,"10,46","27,39118","22,79082","124,4881","13,1128","11,9268","15,94092","1,0426","99,71453","46,324","57,451"
1983M2: Feb-1983,"10,72","27,79872","23,22575","125,5036","13,0497","12,05256","16,05724","1,0595","99,76968","46,448","57,527"
1983M3: Mar-1983,"10,51","28,16034","23,43857","125,8103","12,8272","12,16327","16,1583","1,0651","100,8712","46,574","57,605"
1983M4: Apr-1983,"10,4","28,30958","23,5944","126,4746","12,7883","12,25026","16,25142","1,0794","97,96146","46,704","57,684"
1983M5: May-1983,"10,38","28,69989","23,76302","126,3349","12,935","12,34253","16,35897","1,0888","96,21342","46,836","57,764"
1983M6: Jun-1983,"10,85","28,92949","23,88396","128,1947","13,0909","12,46491","16,47698","1,1206","94,78136","46,971","57,845"
1983M7: Jul-1983,"11,38","29,14761","24,01537","128,9429","13,045","12,58084","16,60153","1,1379","94,06538","47,108","57,928"
1983M8: Aug-1983,"11,85","29,30259","24,12236","130,7757","13,146","12,67383","16,73494","1,1733","92,47648","47,248","58,012"
1983M9: Sep-1983,"11,65","29,43461","24,22935","130,7073","13,2007","12,72244","16,83463","1,174","92,45004","47,391","58,098"
1983M10: Oct-1983,"11,54","29,68717","24,41542","128,6691","13,1173","12,76733","16,93979","1,1553","93,39487","47,536","58,186"
1983M11: Nov-1983,"11,69","29,79049","24,56776","130,1078","13,1762","12,84705","17,07607","1,1856","91,86549","47,683","58,275"
1983M12: Dec-1983,"11,83","29,92825","24,69801","131,1139","12,9664","12,94617","17,21235","1,2165","90,93635","47,833","58,365"
1984M1: Jan-1984,"11,67","30,14063","24,86895","131,661","12,7903","13,02132","17,32948","1,2432","90,02475","47,985","58,458"
1984M2: Feb-1984,"11,84","30,27839","25,1027","130,2128","12,5778","13,0745","17,41366","1,2046","92,19132","48,139","58,551"
1984M3: Mar-1984,"12,32","30,50225","25,29923","128,2513","12,455","13,12913","17,50342","1,1629","94,41325","48,294","58,647"
1984M4: Apr-1984,"12,63","30,70889","25,49228","129,0636","12,4637","13,18585","17,61364","1,1829","93,78528","48,452","58,744"
1984M5: May-1984,"13,41","30,80647","25,63648","131,7624","12,5921","13,27001","17,75138","1,2273","91,90926","48,611","58,844"
1984M6: Jun-1984,"13,56","31,00737","25,76324","132,7049","12,4619","13,35272","17,88526","1,2259","92,91613","48,772","58,944"
1984M7: Jul-1984,"13,36","31,04755","25,86208","136,0052","12,3281","13,41308","18,0101","1,273","92,08715","48,934","59,047"
1984M8: Aug-1984,"12,72","31,05329","25,94116","136,3766","12,2078","13,50423","18,15623","1,2888","90,96135","49,098","59,152"
1984M9: Sep-1984,"12,52","31,17383","26,10513","138,4352","12,0916","13,6133","18,31484","1,3475","88,621","49,263","59,258"
1984M10: Oct-1984,"12,16","31,20827","26,27259","139,4512","11,6297","13,69341","18,43478","1,3731","88,5071","49,429","59,366"
1984M11: Nov-1984,"11,57","31,42638","26,53425","138,2508","11,4203","13,76671","18,5229","1,3399","90,03065","49,596","59,476"
1984M12: Dec-1984,"11,5","31,66172","26,82614","140,3382","11,2049","13,90728","18,65635","1,3894","89,15849","49,765","59,588"
1985M1: Jan-1985,"11,38","31,97168","27,12734","141,8753","10,855","14,0585","18,8151","1,4245","89,6201","49,934","59,702"
1985M2: Feb-1985,"11,51","32,35052","27,37969","145,2993","10,9617","14,15937","18,98827","1,4809","88,22932","50,104","59,818"
1985M3: Mar-1985,"11,86","32,52272","27,52156","146,0464","11,0255","14,23188","19,14994","1,484","87,2752","50,274","59,936"
1985M4: Apr-1985,"11,43","32,74084","27,62739","141,9417","10,8583","14,26282","19,26706","1,3822","89,2225","50,445","60,056"
1985M5: May-1985,"10,85","33,01062","27,79252","142,9365","10,8509","14,29135","19,35332","1,3885","88,58981","50,617","60,177"
1985M6: Jun-1985,"10,16","33,4239","28,06116","142,5844","10,8231","14,34709","19,43484","1,3645","88,96206","50,789","60,301"
1985M7: Jul-1985,"10,31","33,81422","28,25769","139,8787","10,7913","14,45405","19,54428","1,2959","90,08466","50,962","60,427"
1985M8: Aug-1985,"10,33","34,22176","28,42631","138,25","10,678","14,55527","19,64655","1,2532","92,2104","51,135","60,554"
1985M9: Sep-1985,"10,37","34,62929","28,57051","139,4662","10,5376","14,65429","19,74119","1,2753","91,3672","51,308","60,684"
1985M10: Oct-1985,"10,24","34,88759","28,70658","133,761","10,4002","14,81973","19,8574","1,1951","93,72054","51,482","60,815"
1985M11: Nov-1985,"9,78","35,14015","28,81938","132,7828","10,2661","14,91103","19,93624","1,173","94,29338","51,655","60,949"
1985M12: Dec-1985,"9,26","35,57639","28,98684","131,6774","10,2047","14,9832","20,09124","1,1457","96,27195","51,829","61,084"
1986M1: Jan-1986,"9,19","35,66823","29,10429","129,9932","9,9611","15,08438","20,27305","1,1216","98,78201","52,002","61,221"
1986M2: Feb-1986,"8,7","35,88635","29,22873","125,2731","9,9428","15,19629","20,36474","1,0788","100,9921","52,176","61,361"
1986M3: Mar-1986,"7,78","36,36277","29,4648","122,4073","9,3951","15,4414","20,50543","1,0485","102,4882","52,349","61,502"
1986M4: Apr-1986,"7,3","36,79327","29,75204","121,1382","8,7663","15,5917","20,60372","1,0526","100,4269","52,522","61,645"
1986M5: May-1986,"7,71","37,42466","30,06719","118,7159","8,4784","15,67203","20,66809","1,0372","100,6141","52,695","61,79"
1986M6: Jun-1986,"7,8","37,9183","30,30326","120,504","8,5498","15,75325","20,77856","1,04","100,6505","52,868","61,937"
1986M7: Jul-1986,"7,3","38,47508","30,55561","117,3765","8,5312","15,82038","20,89269","1,0103","102,5098","53,04","62,086"
1986M8: Aug-1986,"7,17","38,95724","30,78703","115,6739","8,3521","15,95043","21,01732","0,9793","105,0737","53,212","62,237"
1986M9: Sep-1986,"7,45","39,45662","31,03706","115,6872","8,3279","16,07575","21,16393","0,9732","106,0672","53,383","62,39"
1986M10: Oct-1986,"7,43","39,88712","31,26732","115,6408","8,4165","16,21379","21,34453","0,9616","108,3832","53,554","62,545"
1986M11: Nov-1986,"7,25","40,48981","31,4278","117,2747","8,535","16,30883","21,48989","0,9674","108,1243","53,725","62,702"
1986M12: Dec-1986,"7,11","41,59763","31,7383","116,4044","8,4674","16,36354","21,58085","0,9574","109,0578","53,895","62,86"
1987M1: Jan-1987,"7,08","41,91333","31,92204","112,7665","8,4529","16,47102","21,70365","0,9004","112,0049","54,064","63,02"
1987M2: Feb-1987,"7,25","41,94203","31,9639","111,8269","8,5029","16,58497","21,84769","0,8826","112,893","54,233","63,183"
1987M3: Mar-1987,"7,25","42,11996","32,03717","111,2028","8,4579","16,67925","21,98886","0,8836","110,8079","54,401","63,346"
1987M4: Apr-1987,"8,02","42,6997","32,2023","108,4412","8,4889","16,87461","22,1748","0,8721","109,3729","54,568","63,512"
1987M5: May-1987,"8,61","42,80876","32,26394","107,6264","8,6779","16,99961","22,34096","0,8611","109,187","54,734","63,679"
1987M6: Jun-1987,"8,4","42,65952","32,28371","109,021","8,9002","17,08181","22,46357","0,8765","109,0013","54,9","63,848"
1987M7: Jul-1987,"8,45","42,64804","32,33604","110,5293","9,1785","17,21076","22,59914","0,8886","109,0104","55,065","64,019"
1987M8: Aug-1987,"8,76","42,7571","32,44302","110,2647","9,5074","17,28852","22,75419","0,896","108,0628","55,229","64,191"
1987M9: Sep-1987,"9,42","42,91208","32,5756","108,2939","9,7306","17,39592","22,90979","0,8735","108,5966","55,392","64,364"
1987M10: Oct-1987,"9,52","43,40572","32,75701","108,0144","9,995","17,5226","23,07457","0,8686","108,9207","55,553","64,539"
1987M11: Nov-1987,"8,86","43,23352","32,8105","104,8396","9,4947","17,60875","23,24123","0,8147","110,7791","55,714","64,715"
1987M12: Dec-1987,"8,99","43,06132","32,89656","101,9206","9,3506","17,64846","23,36018","0,7914","111,4247","55,874","64,892"
1988M1: Jan-1988,"8,67","43,40572","33,14077","101,297","9,2041","17,71801","23,45495","0,8001","110,7869","56,032","65,07"
1988M2: Feb-1988,"8,21","43,49182","33,40708","101,9537","8,9186","17,80844","23,56951","0,822","109,2752","56,189","65,249"
1988M3: Mar-1988,"8,37","43,72716","33,64315","100,6276","8,8357","17,93137","23,7169","0,8109","108,5961","56,345","65,429"
1988M4: Apr-1988,"8,72","44,08878","33,8769","99,64642","8,823","18,09336","23,91039","0,8057","107,401","56,5","65,61"
1988M5: May-1988,"9,09","44,29542","34,05599","99,84335","8,9674","18,23813","24,11994","0,8131","106,4621","56,653","65,791"
1988M6: Jun-1988,"8,92","44,67426","34,19786","101,2008","8,8584","18,3555","24,26523","0,8425","105,1955","56,804","65,973"
1988M7: Jul-1988,"9,06","44,8522","34,3002","103,8836","8,9715","18,50875","24,41335","0,8863","103,2332","56,955","66,156"
1988M8: Aug-1988,"9,26","44,96125","34,35835","104,9206","9,087","18,66992","24,62417","0,9059","101,6042","57,104","66,338"
1988M9: Sep-1988,"8,98","44,98421","34,41533","105,1301","9,0438","18,7264","24,80433","0,9003","102,2941","57,251","66,521"
1988M10: Oct-1988,"8,8","44,96125","34,51302","102,9472","8,9263","18,82295","24,98741","0,8796","102,6324","57,397","66,704"
1988M11: Nov-1988,"8,96","45,05309","34,68629","100,2595","8,93","18,96701","25,18068","0,8445","103,9248","57,541","66,887"
1988M12: Dec-1988,"9,11","45,15641","34,77816","99,95941","9,0858","19,01586","25,30193","0,844","103,9053","57,683","67,069"
1989M1: Jan-1989,"9,09","45,09901","34,8177","101,6199","9,1623","19,10112","25,44251","0,8805","102,2064","57,824","67,251"
1989M2: Feb-1989,"9,17","44,98996","34,82235","101,923","9,4056","19,22273","25,63517","0,8889","101,6838","57,964","67,433"
1989M3: Mar-1989,"9,36","44,94403","34,9119","102,8599","9,6448","19,39491","25,88095","0,8967","102,0967","58,102","67,614"
1989M4: Apr-1989,"9,18","44,72592","34,98399","102,988","9,596","19,46752","26,07859","0,8992","102,2967","58,238","67,794"
1989M5: May-1989,"8,86","44,48484","35,04912","104,8853","9,6817","19,5009","26,24479","0,9375","100,3843","58,373","67,973"
1989M6: Jun-1989,"8,28","44,39874","35,23867","106,6648","9,6037","19,71399","26,51274","0,9554","100,4356","58,506","68,152"
1989M7: Jul-1989,"8,02","44,64556","35,52359","104,8455","9,5854","19,91625","26,78574","0,914","103,0716","58,637","68,329"
1989M8: Aug-1989,"8,11","44,7374","35,77943","104,9753","9,5375","20,04554","26,99125","0,9278","102,2958","58,768","68,505"
1989M9: Sep-1989,"8,19","44,82924","35,98992","105,8205","9,6914","20,1346","27,15596","0,9411","101,6457","58,896","68,68"
1989M10: Oct-1989,"8,01","45,15067","36,24111","104,2059","9,8685","20,22749","27,31565","0,9072","104,0174","59,024","68,854"
1989M11: Nov-1989,"7,87","45,2253","36,4609","104,5649","10,1543","20,33711","27,49167","0,8939","106,2656","59,149","69,026"
1989M12: Dec-1989,"7,84","45,51229","36,68301","103,7165","10,2373","20,4847","27,72521","0,8565","110,4236","59,274","69,196"
1990M1: Jan-1990,"8,21","45,65579","36,84698","103,5918","10,4502","20,71968","28,02788","0,8319","111,916","59,398","69,365"
1990M2: Feb-1990,"8,47","45,81077","36,99119","103,7581","10,9205","20,84851","28,2723","0,8208","112,2805","59,52","69,531"
1990M3: Mar-1990,"8,59","46,00593","37,11678","105,2618","11,0549","20,82001","28,38644","0,8351","112,3045","59,641","69,696"
1990M4: Apr-1990,"8,79","46,26997","37,25052","105,3768","10,8743","20,82353","28,48952","0,8251","113,5065","59,761","69,859"
1990M5: May-1990,"8,76","46,16091","37,23772","103,9395","10,7959","20,89407","28,62266","0,8114","112,9708","59,881","70,02"
1990M6: Jun-1990,"8,48","46,42495","37,38774","104,6383","10,7063","21,34001","29,32817","0,8177","111,4095",60,"70,178"
1990M7: Jul-1990,"8,47","46,49957","37,51101","102,8209","10,5673","21,79539","30,05213","0,7927","112,112","60,118","70,335"
1990M8: Aug-1990,"8,75","46,82101","37,71568","101,5184","10,9569","21,93578","30,24202","0,7599","113,5803","60,235","70,489"
1990M9: Sep-1990,"8,89","47,07931","37,86221","100,1018","11,1356","22,08444","30,46632","0,7617","112,055","60,353","70,641"
1990M10: Oct-1990,"8,72","47,06209","37,91571","97,80394","11,079","22,15648","30,688","0,7398","112,6271","60,47","70,791"
1990M11: Nov-1990,"8,39","47,18837","37,95292","97,60418","10,9892","22,20284","30,88955","0,724","114,4488","60,587","70,938"
1990M12: Dec-1990,"8,08","47,3376","38,05875","98,76656","10,8649","22,51609","31,11333","0,732","115,2517","60,704","71,082"
1991M1: Jan-1991,"8,09","47,48111","38,24132","98,4452","10,8449","22,7826","31,33159","0,7367","113,9845","60,821","71,225"
1991M2: Feb-1991,"7,85","47,79107","38,43204","97,10296","10,4413","22,86216","31,54994","0,7226","115,0421","60,938","71,365"
1991M3: Mar-1991,"8,11","48,1412","38,63439","100,1894","10,3725","22,88901","31,71332","0,7818","111,073","61,056","71,503"
1991M4: Apr-1991,"8,04","48,39376","38,75417","101,247","10,1174","22,8839","31,83478","0,8267","106,3943","61,174","71,638"
1991M5: May-1991,"8,07","48,72094","38,87744","101,6196","9,9855","23,00238","32,00706","0,8339","106,0629","61,293","71,771"
1991M6: Jun-1991,"8,28","49,1744","38,98094","103,0838","10,0527","23,10437","32,19338","0,8687","104,5135","61,413","71,901"
1991M7: Jul-1991,"8,27","49,45566","39,02629","102,7618","10,2246","23,21886","32,40536","0,8707","105,1509","61,534","72,029"
1991M8: Aug-1991,"7,9","49,75414","39,01234","101,7911","10,2017","23,34306","32,65904","0,8503","106,2868","61,656","72,154"
1991M9: Sep-1991,"7,65","49,9206","39,01117","100,7178","10,0021","23,36367","32,87087","0,8281","107,3179","61,779","72,278"
1991M10: Oct-1991,"7,53","50,39701","39,06932","99,63007","9,8719","23,38748","33,06938","0,8255","107,8014","61,903","72,399"
