Name,US CLI - REFERENCE SERIES GDP (LONG-TERM TREND) TRND,EK CLI - REFERENCE SERIES GDP (LONG-TERM TREND) TRND
15.01.1979,"42,106","53,634"
15.02.1979,"42,201","53,739"
15.03.1979,"42,294","53,843"
15.04.1979,"42,385","53,946"
15.05.1979,"42,476","54,047"
15.06.1979,"42,564","54,147"
15.07.1979,"42,652","54,246"
15.08.1979,"42,738","54,343"
15.09.1979,"42,823","54,439"
15.10.1979,"42,906","54,533"
15.11.1979,"42,988","54,625"
15.12.1979,"43,07","54,716"
15.01.1980,"43,15","54,806"
15.02.1980,"43,229","54,894"
15.03.1980,"43,308","54,98"
15.04.1980,"43,386","55,065"
15.05.1980,"43,463","55,149"
15.06.1980,"43,539","55,231"
15.07.1980,"43,616","55,311"
15.08.1980,"43,692","55,391"
15.09.1980,"43,768","55,469"
15.10.1980,"43,844","55,545"
15.11.1980,"43,92","55,621"
15.12.1980,"43,996","55,696"
15.01.1981,"44,073","55,769"
15.02.1981,"44,15","55,842"
15.03.1981,"44,227","55,914"
15.04.1981,"44,305","55,985"
15.05.1981,"44,384","56,055"
15.06.1981,"44,464","56,125"
15.07.1981,"44,545","56,194"
15.08.1981,"44,626","56,262"
15.09.1981,"44,71","56,331"
15.10.1981,"44,794","56,399"
15.11.1981,"44,881","56,467"
15.12.1981,"44,968","56,535"
15.01.1982,"45,058","56,602"
15.02.1982,"45,15","56,67"
15.03.1982,"45,244","56,739"
15.04.1982,"45,34","56,807"
15.05.1982,"45,439","56,876"
15.06.1982,"45,54","56,945"
15.07.1982,"45,644","57,015"
15.08.1982,"45,75","57,085"
15.09.1982,"45,859","57,157"
15.10.1982,"45,971","57,229"
15.11.1982,"46,086","57,302"
15.12.1982,"46,204","57,376"
15.01.1983,"46,324","57,451"
15.02.1983,"46,448","57,527"
15.03.1983,"46,574","57,605"
15.04.1983,"46,704","57,684"
15.05.1983,"46,836","57,764"
15.06.1983,"46,971","57,845"
15.07.1983,"47,108","57,928"
15.08.1983,"47,248","58,012"
15.09.1983,"47,391","58,098"
15.10.1983,"47,536","58,186"
15.11.1983,"47,683","58,275"
15.12.1983,"47,833","58,365"
15.01.1984,"47,985","58,458"
15.02.1984,"48,139","58,551"
15.03.1984,"48,294","58,647"
15.04.1984,"48,452","58,744"
15.05.1984,"48,611","58,844"
15.06.1984,"48,772","58,944"
15.07.1984,"48,934","59,047"
15.08.1984,"49,098","59,152"
15.09.1984,"49,263","59,258"
15.10.1984,"49,429","59,366"
15.11.1984,"49,596","59,476"
15.12.1984,"49,765","59,588"
15.01.1985,"49,934","59,702"
15.02.1985,"50,104","59,818"
15.03.1985,"50,274","59,936"
15.04.1985,"50,445","60,056"
15.05.1985,"50,617","60,177"
15.06.1985,"50,789","60,301"
15.07.1985,"50,962","60,427"
15.08.1985,"51,135","60,554"
15.09.1985,"51,308","60,684"
15.10.1985,"51,482","60,815"
15.11.1985,"51,655","60,949"
15.12.1985,"51,829","61,084"
15.01.1986,"52,002","61,221"
15.02.1986,"52,176","61,361"
15.03.1986,"52,349","61,502"
15.04.1986,"52,522","61,645"
15.05.1986,"52,695","61,79"
15.06.1986,"52,868","61,937"
15.07.1986,"53,04","62,086"
15.08.1986,"53,212","62,237"
15.09.1986,"53,383","62,39"
15.10.1986,"53,554","62,545"
15.11.1986,"53,725","62,702"
15.12.1986,"53,895","62,86"
15.01.1987,"54,064","63,02"
15.02.1987,"54,233","63,183"
15.03.1987,"54,401","63,346"
15.04.1987,"54,568","63,512"
15.05.1987,"54,734","63,679"
15.06.1987,"54,9","63,848"
15.07.1987,"55,065","64,019"
15.08.1987,"55,229","64,191"
15.09.1987,"55,392","64,364"
15.10.1987,"55,553","64,539"
