,United States,Euro area (19 countries)
Jan-1979,"9,1","9,62"
Feb-1979,"9,1","9,74"
Mar-1979,"9,12","9,82"
Apr-1979,"9,18","9,93"
May-1979,"9,25","10,2"
Jun-1979,"8,91","10,4"
Jul-1979,"8,95","10,53"
Aug-1979,"9,03","10,6"
Sep-1979,"9,33","10,67"
Oct-1979,"10,3","10,85"
Nov-1979,"10,65","11,14"
Dec-1979,"10,39","11,42"
Jan-1980,"10,8","11,5"
Feb-1980,"12,41","12,09"
Mar-1980,"12,75","12,69"
Apr-1980,"11,47","12,57"
May-1980,"10,18","12,26"
Jun-1980,"9,78","12,11"
Jul-1980,"10,25","12,12"
Aug-1980,"11,1","12,16"
Sep-1980,"11,51","12,45"
Oct-1980,"11,75","12,76"
Nov-1980,"12,68","12,91"
Dec-1980,"12,84","12,84"
Jan-1981,"12,57","12,93"
Feb-1981,"13,19","13,45"
Mar-1981,"13,12","13,71"
Apr-1981,"13,68","13,93"
May-1981,"14,1","14,74"
Jun-1981,"13,47","14,9"
Jul-1981,"14,28","15,03"
Aug-1981,"14,94","15,2"
Sep-1981,"15,32","15,44"
Oct-1981,"15,15","15,2"
Nov-1981,"13,39","15,2"
Dec-1981,"13,72","14,91"
Jan-1982,"14,59","14,85"
Feb-1982,"14,43","14,9"
Mar-1982,"13,86","14,61"
Apr-1982,"13,87","14,47"
May-1982,"13,62","14,43"
Jun-1982,"14,3","14,64"
Jul-1982,"13,95","14,59"
Aug-1982,"13,06","14,23"
Sep-1982,"12,34","13,99"
Oct-1982,"10,91","13,81"
Nov-1982,"10,55","13,81"
Dec-1982,"10,54","13,4"
Jan-1983,"10,46","13,11"
Feb-1983,"10,72","13,05"
Mar-1983,"10,51","12,83"
Apr-1983,"10,4","12,79"
May-1983,"10,38","12,94"
Jun-1983,"10,85","13,09"
Jul-1983,"11,38","13,05"
Aug-1983,"11,85","13,15"
Sep-1983,"11,65","13,2"
Oct-1983,"11,54","13,12"
Nov-1983,"11,69","13,18"
Dec-1983,"11,83","12,97"
Jan-1984,"11,67","12,79"
Feb-1984,"11,84","12,58"
Mar-1984,"12,32","12,46"
Apr-1984,"12,63","12,46"
May-1984,"13,41","12,59"
Jun-1984,"13,56","12,46"
Jul-1984,"13,36","12,33"
Aug-1984,"12,72","12,21"
Sep-1984,"12,52","12,09"
Oct-1984,"12,16","11,63"
Nov-1984,"11,57","11,42"
Dec-1984,"11,5","11,2"
Jan-1985,"11,38","10,86"
Feb-1985,"11,51","10,96"
Mar-1985,"11,86","11,03"
Apr-1985,"11,43","10,86"
May-1985,"10,85","10,85"
Jun-1985,"10,16","10,82"
Jul-1985,"10,31","10,79"
Aug-1985,"10,33","10,68"
Sep-1985,"10,37","10,54"
Oct-1985,"10,24","10,4"
Nov-1985,"9,78","10,27"
Dec-1985,"9,26","10,2"
Jan-1986,"9,19","9,96"
Feb-1986,"8,7","9,94"
Mar-1986,"7,78","9,4"
Apr-1986,"7,3","8,77"
May-1986,"7,71","8,48"
Jun-1986,"7,8","8,55"
Jul-1986,"7,3","8,53"
Aug-1986,"7,17","8,35"
Sep-1986,"7,45","8,33"
Oct-1986,"7,43","8,42"
Nov-1986,"7,25","8,54"
Dec-1986,"7,11","8,47"
Jan-1987,"7,08","8,45"
Feb-1987,"7,25","8,5"
Mar-1987,"7,25","8,46"
Apr-1987,"8,02","8,49"
May-1987,"8,61","8,68"
Jun-1987,"8,4","8,9"
Jul-1987,"8,45","9,18"
Aug-1987,"8,76","9,51"
Sep-1987,"9,42","9,73"
Oct-1987,"9,52",10
Nov-1987,"8,86","9,49"
Dec-1987,"8,99","9,35"
Jan-1988,"8,67","9,2"
Feb-1988,"8,21","8,92"
Mar-1988,"8,37","8,84"
Apr-1988,"8,72","8,82"
May-1988,"9,09","8,97"
Jun-1988,"8,92","8,86"
Jul-1988,"9,06","8,97"
Aug-1988,"9,26","9,09"
Sep-1988,"8,98","9,04"
Oct-1988,"8,8","8,93"
Nov-1988,"8,96","8,93"
Dec-1988,"9,11","9,09"
Jan-1989,"9,09","9,16"
Feb-1989,"9,17","9,41"
Mar-1989,"9,36","9,64"
Apr-1989,"9,18","9,6"
May-1989,"8,86","9,68"
Jun-1989,"8,28","9,6"
Jul-1989,"8,02","9,59"
Aug-1989,"8,11","9,54"
Sep-1989,"8,19","9,69"
Oct-1989,"8,01","9,87"
Nov-1989,"7,87","10,15"
Dec-1989,"7,84","10,24"
Jan-1990,"8,21","10,45"
Feb-1990,"8,47","10,92"
Mar-1990,"8,59","11,05"
Apr-1990,"8,79","10,87"
May-1990,"8,76","10,8"
Jun-1990,"8,48","10,71"
Jul-1990,"8,47","10,57"
Aug-1990,"8,75","10,96"
Sep-1990,"8,89","11,14"
Oct-1990,"8,72","11,08"
Nov-1990,"8,39","10,99"
Dec-1990,"8,08","10,86"
Jan-1991,"8,09","10,84"
Feb-1991,"7,85","10,44"
Mar-1991,"8,11","10,37"
Apr-1991,"8,04","10,12"
May-1991,"8,07","9,99"
Jun-1991,"8,28","10,05"
Jul-1991,"8,27","10,22"
Aug-1991,"7,9","10,2"
Sep-1991,"7,65",10
Oct-1991,"7,53","9,87"
Nov-1991,"7,42","9,92"
Dec-1991,"7,09","9,89"
Jan-1992,"7,03","9,61"
Feb-1992,"7,34","9,55"
Mar-1992,"7,54","9,58"
Apr-1992,"7,48","9,62"
May-1992,"7,39","9,58"
Jun-1992,"7,26","9,83"
Jul-1992,"6,84","10,03"
Aug-1992,"6,59","10,1"
Sep-1992,"6,42","10,02"
Oct-1992,"6,59","10,22"
Nov-1992,"6,87","9,88"
Dec-1992,"6,77","9,93"
Jan-1993,"6,6","9,7"
Feb-1993,"6,26","9,4"
Mar-1993,"5,98","9,15"
Apr-1993,"5,97","9,16"
May-1993,"6,04","9,04"
Jun-1993,"5,96","8,78"
Jul-1993,"5,81","8,4"
Aug-1993,"5,68","7,92"
Sep-1993,"5,36","7,61"
Oct-1993,"5,33","7,36"
Nov-1993,"5,72","7,38"
Dec-1993,"5,77","7,19"
Jan-1994,"5,75","6,69"
Feb-1994,"5,97","6,88"
Mar-1994,"6,48","7,35"
Apr-1994,"6,97","7,46"
May-1994,"7,18","7,75"
Jun-1994,"7,1","8,37"
Jul-1994,"7,3","8,39"
Aug-1994,"7,24","8,68"
Sep-1994,"7,46","9,12"
Oct-1994,"7,74","9,16"
Nov-1994,"7,96","9,12"
Dec-1994,"7,81","9,14"
Jan-1995,"7,78","9,34"
Feb-1995,"7,47","9,19"
Mar-1995,"7,2","9,43"
Apr-1995,"7,06","9,26"
May-1995,"6,63","8,78"
Jun-1995,"6,17","8,75"
Jul-1995,"6,28","8,71"
Aug-1995,"6,49","8,47"
Sep-1995,"6,2","8,36"
Oct-1995,"6,04","8,48"
Nov-1995,"5,93","8,16"
Dec-1995,"5,71","7,82"
Jan-1996,"5,65","7,44"
Feb-1996,"5,81","7,66"
Mar-1996,"6,27","7,83"
Apr-1996,"6,51","7,62"
May-1996,"6,74","7,48"
Jun-1996,"6,91","7,51"
Jul-1996,"6,87","7,39"
Aug-1996,"6,64","7,31"
Sep-1996,"6,83","7,13"
Oct-1996,"6,53","6,68"
Nov-1996,"6,2","6,43"
Dec-1996,"6,3","6,31"
Jan-1997,"6,58","6,23"
Feb-1997,"6,42","6,06"
Mar-1997,"6,69","6,32"
Apr-1997,"6,89","6,39"
May-1997,"6,71","6,18"
Jun-1997,"6,49","6,09"
Jul-1997,"6,22","5,83"
Aug-1997,"6,3","5,94"
Sep-1997,"6,21","5,66"
Oct-1997,"6,03","5,75"
Nov-1997,"5,88","5,59"
Dec-1997,"5,81","5,46"
Jan-1998,"5,54","5,22"
Feb-1998,"5,57","5,12"
Mar-1998,"5,65","5,01"
