Code,EMVM1X28A,USM1....A,USML2106T,EKML2106T,USEBM10Y%,EMGBOND.,,,,
31.01.1979,408528,"363,3","42,106","53,634","8,93","9,6236","0,736","1,36","9,1","9,62"
28.02.1979,405599,"351,7","42,201","53,739","9,22","9,7419","0,74","1,35","9,1","9,74"
30.03.1979,414571,"356,1","42,294","53,843","9,14","9,8235","0,74","1,35","9,12","9,82"
30.04.1979,416264,"371,3","42,385","53,946","9,33","9,9274","0,748","1,34","9,18","9,93"
31.05.1979,420214,"362,2","42,476","54,047","9,02","10,201","0,756","1,32","9,25","10,2"
29.06.1979,435604,"371,9","42,564","54,147","8,74","10,3992","0,747","1,34","8,91","10,4"
31.07.1979,436583,"378,4","42,652","54,246","9,02","10,5292","0,721","1,39","8,95","10,53"
31.08.1979,427802,"376,9","42,738","54,343","9,3","10,5991","0,723","1,38","9,03","10,6"
28.09.1979,434311,"380,5","42,823","54,439","9,46","10,6704","0,715","1,4","9,33","10,67"
31.10.1979,431605,"382,6","42,906","54,533","10,95","10,8468","0,718","1,39","10,3","10,85"
30.11.1979,441447,"384,4","42,988","54,625","10,45","11,1374","0,715","1,4","10,65","11,14"
31.12.1979,458548,"393,2","43,07","54,716","10,36","11,4201","0,7","1,43","10,39","11,42"
31.01.1980,444852,"390,4","43,15","54,806","11,12","11,5023","0,693","1,44","10,8","11,5"
29.02.1980,440074,"380,8","43,229","54,894","13,1","12,0853","0,699","1,43","12,41","12,09"
31.03.1980,447850,"382,2","43,308","54,98","12,76","12,685","0,736","1,36","12,75","12,69"
30.04.1980,448946,"386,7","43,386","55,065","10,75","12,5724","0,743","1,35","11,47","12,57"
30.05.1980,452286,"377,8","43,463","55,149","10,09","12,2638","0,713","1,4","10,18","12,26"
30.06.1980,467166,"387,3","43,539","55,231","9,73","12,1057","0,703","1,42","9,78","12,11"
31.07.1980,466043,"394,6","43,616","55,311","10,38","12,1237","0,694","1,44","10,25","12,12"
29.08.1980,459264,"398,3","43,692","55,391","11,63","12,164","0,707","1,41","11,1","12,16"
30.09.1980,466001,"404,7","43,768","55,469","11,86","12,4537","0,707","1,41","11,51","12,45"
31.10.1980,464732,"410,7","43,844","55,545","12,56","12,7621","0,722","1,39","11,75","12,76"
28.11.1980,481987,"415,8","43,92","55,621","12,86","12,9068","0,749","1,34","12,68","12,91"
31.12.1980,492650,"419,5","43,996","55,696","12,49","12,841","0,77","1,3","12,84","12,84"
30.01.1981,476508,"416,4","44,073","55,769","12,73","12,9312","0,775","1,29","12,57","12,93"
27.02.1981,475181,"405,5","44,15","55,842","13,58","13,4494","0,829","1,21","13,19","13,45"
31.03.1981,476580,"412,2","44,227","55,914","13,3","13,7055","0,83","1,2","13,12","13,71"
30.04.1981,477209,431,"44,305","55,985","14,26","13,9322","0,848","1,18","13,68","13,93"
29.05.1981,486156,"418,5","44,384","56,055","13,65","14,7366","0,902","1,11","14,1","14,74"
30.06.1981,494939,"422,8","44,464","56,125","14,15","14,8977","0,938","1,07","13,47","14,9"
31.07.1981,486452,"427,7","44,545","56,194","14,87","15,0344","0,966","1,04","14,28","15,03"
31.08.1981,482938,"425,9","44,626","56,262","15,71","15,2041","0,995","1,01","14,94","15,2"
30.09.1981,491639,427,"44,71","56,331","16,05","15,4353","0,946","1,06","15,32","15,44"
30.10.1981,488624,"429,7","44,794","56,399","14,73","15,2037","0,921","1,09","15,15","15,2"
30.11.1981,503127,"435,1","44,881","56,467","12,86","15,1985","0,91","1,1","13,39","15,2"
31.12.1981,519135,447,"44,968","56,535","13,97","14,9096","0,919","1,09","13,72","14,91"
29.01.1982,508185,"448,4","45,058","56,602","14,23","14,8468","0,937","1,07","14,59","14,85"
26.02.1982,505693,"432,4","45,15","56,67","14,08","14,8963","0,968","1,03","14,43","14,9"
31.03.1982,506140,"435,6","45,244","56,739","14,37","14,6102","0,985","1,02","13,86","14,61"
30.04.1982,508383,"451,1","45,34","56,807","13,88","14,4708","1,049","0,95","13,87","14,47"
31.05.1982,519016,"440,9","45,439","56,876","13,86","14,4346","0,968","1,03","13,62","14,43"
30.06.1982,532429,"446,2","45,54","56,945","14,66","14,6425","1,017","0,98","14,3","14,64"
30.07.1982,528072,"449,5","45,644","57,015","13,75","14,5892","1,044","0,96","13,95","14,59"
31.08.1982,526324,"449,8","45,75","57,085","12,89","14,2299","1,049","0,95","13,06","14,23"
30.09.1982,534767,"456,2","45,859","57,157","11,72","13,9851","1,062","0,94","12,34","13,99"
29.10.1982,537823,"465,7","45,971","57,229","10,68","13,8124","1,073","0,93","10,91","13,81"
30.11.1982,552998,"474,4","46,086","57,302","10,67","13,8141","1,092","0,92","10,55","13,81"
31.12.1982,570578,"485,8","46,204","57,376","10,32","13,4026","1,048","0,95","10,54","13,4"
31.01.1983,560452,"482,8","46,324","57,451","10,69","13,1128","1,043","0,96","10,46","13,11"
28.02.1983,558656,"474,2","46,448","57,527","10,01","13,0497","1,06","0,94","10,72","13,05"
31.03.1983,556214,"482,7","46,574","57,605","10,52","12,8272","1,065","0,94","10,51","12,83"
29.04.1983,562411,"498,6","46,704","57,684","10,15","12,7883","1,079","0,93","10,4","12,79"
31.05.1983,572976,"493,9","46,836","57,764","10,77","12,935","1,089","0,92","10,38","12,94"
30.06.1983,588355,"503,5","46,971","57,845","10,92","13,0909","1,121","0,89","10,85","13,09"
29.07.1983,591184,"510,5","47,108","57,928","11,74","13,045","1,138","0,88","11,38","13,05"
31.08.1983,579688,"508,2","47,248","58,012","11,94","13,146","1,173","0,85","11,85","13,15"
30.09.1983,583100,"511,4","47,391","58,098","11,39","13,2007","1,174","0,85","11,65","13,2"
31.10.1983,589869,"517,2","47,536","58,186","11,62","13,1173","1,155","0,87","11,54","13,12"
30.11.1983,602042,"521,8","47,683","58,275","11,57","13,1762","1,186","0,84","11,69","13,18"
30.12.1983,628682,"533,3","47,833","58,365","11,77","12,9664","1,217","0,82","11,83","12,97"
31.01.1984,609078,"530,2","47,985","58,458","11,56","12,7903","1,243","0,8","11,67","12,79"
29.02.1984,602326,"516,9","48,139","58,551","11,97","12,5778","1,205","0,83","11,84","12,58"
30.03.1984,600316,"523,2","48,294","58,647","12,45","12,455","1,163","0,86","12,32","12,46"
30.04.1984,609467,"539,9","48,452","58,744","12,75","12,4637","1,183","0,85","12,63","12,46"
31.05.1984,613569,"530,7","48,611","58,844","13,87","12,5921","1,227","0,81","13,41","12,59"
29.06.1984,626388,"541,4","48,772","58,944","13,82","12,4619","1,226","0,82","13,56","12,46"
31.07.1984,627787,"543,3","48,934","59,047","12,91","12,3281","1,273","0,79","13,36","12,33"
31.08.1984,614507,539,"49,098","59,152","12,85","12,2078","1,289","0,78","12,72","12,21"
28.09.1984,632731,"542,5","49,263","59,258","12,54","12,0916","1,348","0,74","12,52","12,09"
31.10.1984,630577,"542,2","49,429","59,366","11,7","11,6297","1,373","0,73","12,16","11,63"
30.11.1984,640198,"549,8","49,596","59,476","11,56","11,4203","1,34","0,75","11,57","11,42"
31.12.1984,682436,"564,6","49,765","59,588","11,52","11,2049","1,389","0,72","11,5","11,2"
31.01.1985,657737,"561,1","49,934","59,702","11,07","10,855","1,425","0,7","11,38","10,86"
28.02.1985,652197,"551,9","50,104","59,818","11,87","10,9617","1,481","0,68","11,51","10,96"
29.03.1985,655551,"558,4","50,274","59,936","11,59","11,0255","1,484","0,67","11,86","11,03"
30.04.1985,657232,"575,1","50,445","60,056","11,31","10,8583","1,382","0,72","11,43","10,86"
31.05.1985,654406,"569,3","50,617","60,177","10,15","10,8509","1,389","0,72","10,85","10,85"
28.06.1985,678598,"585,2","50,789","60,301","10,08","10,8231","1,365","0,73","10,16","10,82"
31.07.1985,677765,592,"50,962","60,427","10,41","10,7913","1,296","0,77","10,31","10,79"
30.08.1985,663190,"594,9","51,135","60,554","10,17","10,678","1,253","0,8","10,33","10,68"
30.09.1985,681100,602,"51,308","60,684","10,15","10,5376","1,275","0,78","10,37","10,54"
31.10.1985,680403,"605,3","51,482","60,815","9,82","10,4002","1,195","0,84","10,24","10,4"
29.11.1985,693520,"614,9","51,655","60,949","9,47","10,2661","1,173","0,85","9,78","10,27"
31.12.1985,732832,"633,3","51,829","61,084","8,87","10,2047","1,146","0,87","9,26","10,2"
31.01.1986,699536,"626,6","52,002","61,221","8,88","9,9611","1,122","0,89","9,19","9,96"
28.02.1986,695994,"612,8","52,176","61,361","8,05","9,9428","1,079","0,93","8,7","9,94"
31.03.1986,717050,"624,3","52,349","61,502","7,21","9,3951","1,049","0,95","7,78","9,4"
30.04.1986,716241,647,"52,522","61,645","7,26","8,7663","1,053","0,95","7,3","8,77"
30.05.1986,722640,"645,7","52,695","61,79","8,03","8,4784","1,037","0,96","7,71","8,48"
30.06.1986,742099,"662,8","52,868","61,937","7,29","8,5498","1,04","0,96","7,8","8,55"
